gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Ube2l6,7.706787500531713e-112,0.2568248393448636,0.026,0.798,1.5413575001063426e-108
Alas2,1.8355925424081652e-100,0.7159879029427385,0.029,0.753,3.6711850848163304e-97
Mgp,1.899552601986817e-93,-0.6293832274348826,0.008,0.202,3.799105203973634e-90
Expi,1.0437291841431413e-57,0.28807666789993325,0.217,0.944,2.0874583682862826e-54
Jph4,2.3353130608014678e-57,0.3968627417026157,0.243,0.978,4.6706261216029356e-54
Clu,2.3989549818384102e-42,0.39366126280838865,0.293,0.981,4.7979099636768204e-39
Hspa1a,1.0888990060059506e-38,0.7113103678357762,0.308,1,2.1777980120119011e-35
Sema6d,2.3576055973887653e-35,0.27875054969674495,0.279,0.94,4.7152111947775306e-32
Spock3,1.0024804723288435e-28,0.3013225205425243,0.355,1,2.004960944657687e-25
Aldoc,3.027499411393638e-23,0.4637378069797191,0.377,1,6.054998822787277e-20
Dnajb1,3.0553710993579983e-20,0.49158975995154797,0.39,0.976,6.110742198715996e-17
Ptgds,1.489801608764978e-18,0.4721748663913381,0.931,1,2.979603217529956e-15
Il33,9.114964947509008e-16,0.8481299415073886,0.792,1,1.8229929895018015e-12
Csrp1,5.5451054441424395e-15,0.3130344386932018,0.999,1,1.109021088828488e-11
Itgb4,7.704542612734865e-15,0.250816843791809,0.27,0.824,1.5409085225469728e-11
Man1a,4.224290646285817e-12,-0.31035614410640744,0.092,0.427,8.448581292571634e-9
Gstm1,3.1795176035787824e-11,0.37574036658553145,0.425,0.993,6.359035207157564e-8
Glul,1.3516242805412797e-10,0.3675372482789454,0.972,1,2.7032485610825593e-7
Birc2,4.792507987657532e-10,-0.3124431901170581,0.073,0.434,9.585015975315064e-7
Serpinb1a,1.0345241424437413e-7,0.4279135221023842,0.468,0.998,2.0690482848874825e-4
Calb2,2.4156940360138653e-7,0.4713862513668457,0.005,0.24,4.8313880720277303e-4
Cntn1,7.561032448114325e-7,-0.32538333433662825,0.155,0.481,0.0015122064896228651
Ndrg2,8.890626345508842e-7,0.4914537494740234,0.463,1,0.0017781252691017684
Trf,1.6566446458417475e-6,0.28620793511453346,1,1,0.003313289291683495
Tubb3,2.101035299014485e-6,0.3935862160845367,0.517,1,0.00420207059802897
Dtd1,1.5217805102018284e-5,0.28474444731692605,0.354,0.833,0.030435610204036567
Dynll1,1.8776139273049573e-5,0.33615644366093056,0.832,0.972,0.037552278546099147
Nkiras1,2.8694765720117426e-5,0.2733538478555747,0.348,0.624,0.05738953144023485
5430435G22Rik,3.503470761039207e-5,-0.265259204403151,0.056,0.461,0.07006941522078414
Dnajb6,1.6347080091633277e-4,0.32463653642186197,0.519,0.738,0.3269416018326655
Bin1,1.73044269214393e-4,0.26970132540168246,0.826,0.959,0.346088538428786
Pmp22,2.2693474608521673e-4,0.43541254290868747,0.497,1,0.45386949217043343
Ctps,6.398987748596503e-4,-0.325671767138469,0.133,0.502,1
Gstp1,7.808025814010652e-4,0.28312176409423717,0.84,0.998,1
Nfasc,8.216236286241127e-4,-0.28450170940455877,0.488,0.856,1
Fkbp1a,8.558677117342406e-4,0.3106928013604833,0.712,0.981,1
Btg2,0.0031282148833467562,0.29438887174909767,0.387,0.8,1
Apoe,0.006303048611751172,0.44289872807021746,0.67,0.996,1
Etv1,0.007419575796069986,0.2561947234989286,0.767,1,1
Faim2,0.012045166440915757,0.2635501524697528,0.708,0.994,1
Scg5,0.018869396523110333,0.2832162245365186,0.536,0.955,1
Ptn,0.02096749205040689,0.2819978946980384,0.715,0.959,1
Ppp1r14a,0.043278800993992915,0.3033317977389056,0.643,0.904,1
Ccdc12,0.05880238793705305,0.2995492426280302,0.469,0.882,1
Sgk1,0.19505771861836835,0.3728136745274373,0.647,0.993,1
Cst3,0.23682113757069884,0.30664433744937236,0.867,1,1
Fos,0.3065129139366498,0.46054685671502105,0.786,0.963,1
Cyp2j12,0.5386533018165287,0.2646317155577488,0.174,0.586,1
